,username,text,retweet_count
141,ajieHoLic_,"RT @digeeembokFC: Era Jokowi: 
2 Menteri Sosial Kena.

Menteri Sosial mendingan ganti aja jadi Menteri Give Away.
Ayyy dukung Baim Wong yg…",0
142,Tegar51541,"RT @abu_waras: Berarti jabatan Anies sebenarnya lebih tinggi dari Jokowi. 
Karena Anies adalah Pemimpin tingkat Dunia, sementara Jokowi ada…",0
143,SelaMetAll,"RT @AgoesAguss: Tolong segera di serok pak telah melecehkan kepala negara,mantan kepala negara dan aparat pemerintah.
@jokowi 
@Pdiperjuang…",0
144,aliframadhani37,RT @fadjroeL: Presiden @jokowi langsung yang mengumumkan kabar baik tibanya vaksin Covid-19 pada Minggu malam 6 Desember 2020 ~ #Jubir @Jub…,0
145,LuqmanAhmadani,"RT @tempodotco: Lima pengurus partai pendukung pemerintah dari PDI Perjuangan, Golkar, Gerindra, PAN, dan PPP membenarkan kabar pengerahan…",0
146,HusniNasution4,@kribo_jantan @jokowi @#Maksud Lloh.  ??,0
147,sylvipsy,"@digeeembokFC pak jokowi cerdas... pasang dobermann pinscher... setia, garang, gak serak kalau menggonggong 😅😅😅😅 da… https://t.co/XUkiNzGw7x",0
148,Ivan_Pahlev1,https://t.co/Uy8ALtotFQ https://t.co/TwFG1b0Zxa,0
149,MuammarAldafi,"RT @tempodotco: Lima pengurus partai pendukung pemerintah dari PDI Perjuangan, Golkar, Gerindra, PAN, dan PPP membenarkan kabar pengerahan…",0
150,Wahyu01003,RT @AmirKaru8: #jangandilupakan #8300KorbanPHKsepihakFreeport #BuruhFreeportMenggugat yg masih terabaikan hingga saat ini. @jokowi @Kemnake…,0
151,PKSbicara,dari cina? dah ketebak... duluan dah.. gw ntar aja nunggu yg pfizer..,0
152,nugraharmdhn,Ini kalo pengadaan vaksin diusut bisa-bisa ada yamg ketangkep KPK lagi nggak yak? Jalan pintasnya banyak bener buat… https://t.co/MY0q8pAT5Z,0
153,FanraJoy,"RT @idtodayco: Rocky Gerung: Partai Wong Cilik Rampok Hak Wong Cilik, Belakang Punggung Jokowi Tikus Berkeliaran
https://t.co/du5o9uyAPG",0
154,Tegar51541,"RT @LisaAmartatara3: Good Morning Pak @jokowi 

(Cuma ngeja tulisan yg ada di dinding @KPK_RI ) 

Mengingatkan...sudah 2 mentri OTT dimasa…",0
155,arif_misbakul,"RT @tempodotco: Lima pengurus partai pendukung pemerintah dari PDI Perjuangan, Golkar, Gerindra, PAN, dan PPP membenarkan kabar pengerahan…",0
156,Plembang23132,"@Luckypradana555 @jokowi ninton apo ye,,kayak nyo msh mending baco tweet pakde dr pd tweet lu",0
157,ana_NFN,"Vaksin sudah tiba, harapan baru didepan mata.
Kabar baik, hari inil pemerintah sudah menerima 1,2jt vaksin COVID 19… https://t.co/rJI3JSxXR9",0
158,YanAntoni3,Pak @jokowi  duit 17 M itu coba di belikan kuaci semua dan suruh sih juliari batubara yang makan sambil telanjang didalam stadion.,0
159,bhaja27,"RT @jayapuraupdate: Ini lagi satu cebong goblok... 

Haha iya kalo begitu Kam Tangkap Thaha Alhamid sudah..  beliau kan separatis.. 😆😆 http…",0
160,arif_misbakul,RT @DonAdam68: Jaga terus TPS tempat kita masing². Jangan biarkan pem-BUAL menang di Medan! AMAN-kan!,0
161,SSyuban,"RT @tempodotco: Lima pengurus partai pendukung pemerintah dari PDI Perjuangan, Golkar, Gerindra, PAN, dan PPP membenarkan kabar pengerahan…",0
162,MishbahulMunirr,RT @CondetDukedom: Setujukah anda jika @jokowi adalah orang pertama yg disuntik vaksin corona yg diimpor dari China?,0
163,Xxx73690885,"RT @Scortariuz: Apapun Gambarannya, Dilematis Pemerintah @jokowi Dalam Upaya Mengatasi Efek Pandemi Dengan ""Pilihan Memangkas Birokrasi"" Se…",0
164,Obiajulu_Antie,"RT @KetumProDEM: Woii, @KPK_RI.
Berantas Korupsi tak boleh pilih² tebu.

@KPK_RI telah katakan ada masalah dan potensi kerugian negara di p…",0
165,SyZamrisyaf,RT @setkabgoid: Kita harus ciptakan lebih banyak peluang bagi industri dalam negeri untuk makin berkembang. Kita harus terus munculkan pote…,0
166,ibnutimar,@jokowi Sang menteri diberhentikan atau mengundurkan diri? Sebaiknya 1 menit setelah menteri tersangka langsung ber… https://t.co/auzf1nCkGZ,0
167,moeslim_choice,Jokowi: Alhamdulillah Vaksin Corona Tersedia | Semoga BPOM Lancar Izinnya https://t.co/Z3HfHVodkV #Kesehatan,0
168,alghazirafdi,"RT @tempodotco: Lima pengurus partai pendukung pemerintah dari PDI Perjuangan, Golkar, Gerindra, PAN, dan PPP membenarkan kabar pengerahan…",0
169,chibop5,"RT @idtodayco: Haris Rusli Moty: Sulit Dibantah, Kabinet Jokowi Sarang Koruptor https://t.co/nHdyX4G2lr",0
170,irvan__rizky,"RT @detikcom: ""Alhamdulillah vaksin sudah tersedia, artinya kita bisa segera mencegah meluasnya wabah COVID-19,"" kata Presiden Joko Widodo.…",0
171,deetyan06,"RT @jokowi: Semenjak dari awal, saya mengingatkan para menteri Kabinet Indonesia Maju: jangan korupsi!

Karena itulah, terkait penetapan Me…",0
172,Plembang23132,"@Jun__Dev @jokowi mmg ada yg bisa, kan yg koropsi bilang, balik ke diri ni ya",0
173,RamdhanTS92,"RT @idtodayco: Haris Rusli Moty: Sulit Dibantah, Kabinet Jokowi Sarang Koruptor https://t.co/nHdyX4G2lr",0
174,rie_mashudi,"RT @ruhutsitompul: Belum terlambat Bpk Joko Widodo Presiden RI ke 7 tolong Presiden sbg
Panglima Tinggi TNI🇮🇩POLRI siapapun dia &amp; apapun or…",0
175,HIVSurvival_,"RT @idtodayco: Haris Rusli Moty: Sulit Dibantah, Kabinet Jokowi Sarang Koruptor https://t.co/nHdyX4G2lr",0
